id_listing_anon,room_type,listing_neighborhood,total_reviews
2bff0843-53f6-402e-90f8-ba0791b9fafd,Entire home/apt,SÃ£o Conrado,0
1fdbd387-1bae-4510-bfcc-9765824c3282,Private room,-unknown-,1
07b05050-cf38-4b07-bed7-b5eab1e7c1d5,Entire home/apt,Copacabana,0
f3e16d7b-4029-4497-baf1-2fa563c581ee,Entire home/apt,-unknown-,14
3fea5a19-3145-4f7b-b1be-30954286c538,Entire home/apt,Copacabana,0
a2d87a96-5419-44b5-9f77-c2b144af8137,Entire home/apt,Rio Comprido,0
8cb7aeba-5b41-4f91-b14b-425ec5d34d33,Entire home/apt,Ipanema,16
7207371a-7869-4a1c-8a9e-494bebc24f6e,Entire home/apt,-unknown-,2
563882fb-dc5b-4084-852b-31004a54e400,Entire home/apt,Barra da Tijuca,2
9f87753b-593f-45c5-8861-9331fdc2e447,Entire home/apt,Ipanema,61
06348966-c9c8-471c-9046-e9d0e421267a,Private room,-unknown-,0
bb8c025e-0e61-4d1c-b6d7-363445a5f115,Entire home/apt,Lapa,0
ad0b5dc8-a925-4535-b973-da00a6ab84e2,Entire home/apt,Copacabana,26
c0a64411-0a7a-4c9f-af67-93bff7c1d1fc,Entire home/apt,Lagoa,3
e3f04e76-ceb0-45e2-9e63-f4f575d7b89d,Entire home/apt,-unknown-,0
c661ce29-a477-4915-ac5f-92465d91683c,Entire home/apt,-unknown-,2
433c0a5b-768c-43d7-baf4-7497dd181ebf,Entire home/apt,Ipanema,0
b386fce2-eec6-4781-9004-70313c372c63,Private room,-unknown-,0
81d960a9-9ffd-4f6a-8a75-75d333a3b6fe,Private room,-unknown-,0
21d4695c-57b7-48e8-8d10-87b11c6238e1,Entire home/apt,-unknown-,6
d5a1989a-7f37-4dde-8058-0cbb54b9c2d8,Entire home/apt,-unknown-,0
93df794a-6b1c-432a-bfd3-c507b748917a,Entire home/apt,Copacabana,1
cbf09dd7-89c8-4aaf-9979-131098fbf55c,Private room,Santa Teresa,21
0624e1e1-c013-41bc-94d3-bac86134ca74,Entire home/apt,Santa Teresa,0
f27a6ef5-6d79-4cdf-adc9-c8a7e8d836b9,Entire home/apt,Ipanema,0
727d191c-7988-418b-bc0c-b4e4c60b8537,Entire home/apt,Copacabana,0
2be31e2e-0e6e-4a0c-8f8f-ff5c51a4f5e3,Entire home/apt,-unknown-,0
c210760e-1aec-46ec-8fb8-198fe0e75146,Entire home/apt,Leblon,51
04d3f2ee-2690-4700-a94e-4f3193eb92bc,Entire home/apt,-unknown-,0
f4f484e5-d0f3-4c11-b93f-a224ae0c8f0b,Entire home/apt,GlÃ_ria,0
cd7a01a7-c1a3-4fb1-bee5-cdd1dd1d6c64,Entire home/apt,Copacabana,7
f466fbf4-1d24-491a-95b0-839bc4ac008f,Entire home/apt,-unknown-,0
87b725d2-fb36-4fb4-a43b-b2e77a12086c,Entire home/apt,-unknown-,0
b64e1e9c-4091-4fc3-a97b-3bfc4a40819a,Private room,-unknown-,1
99fe626b-9230-48b5-9a07-882ff9038c41,Entire home/apt,Copacabana,5
c158bd30-0a6f-4623-a92c-69f851af122f,Private room,-unknown-,11
5bf066b5-ba16-400c-95f0-5b935b5503bb,Private room,-unknown-,2
cc374fa4-ddc7-4a96-a648-d8e36be08d96,Entire home/apt,-unknown-,0
0ae982f4-5210-47f8-9c67-e86d62906493,Entire home/apt,PraÃ§a da Bandeira,1
a71bbfe4-d4af-47d9-8f29-b3691aff11ff,Entire home/apt,Barra da Tijuca,0
c87a3a7a-e70e-43d8-98ab-f8a1a0a7b7df,Entire home/apt,Copacabana,0
3db0d58d-0da5-4874-ab9b-d33ba0624144,Entire home/apt,-unknown-,0
56874d06-4d59-4417-b3f4-789d3e47106d,Private room,-unknown-,0
dac4675f-8267-475d-909f-c62b4d542306,Entire home/apt,-unknown-,0
681df11c-116b-4e3e-8422-1815024012f0,Private room,-unknown-,0
2f1359e2-08c3-4b49-abd1-cb2cb343e0e3,Entire home/apt,Copacabana,12
c56c5730-e5c6-4548-a8cb-f28f0ad864b6,Entire home/apt,-unknown-,0
d7d8fb9d-266b-4c34-acec-647f45db4a2d,Entire home/apt,Santa Teresa,19
74de8e00-c18c-4719-bf5e-14cfb7213af5,Entire home/apt,-unknown-,0
88a8f87a-10da-4348-814a-602112737b10,Entire home/apt,Barra da Tijuca,2
7b0fa01a-7cf3-4de6-9418-7717a5ae4367,Entire home/apt,-unknown-,2
00c5bfe4-61cc-49eb-ab51-e9d22fb87048,Entire home/apt,Flamengo,0
208e6728-03a3-421d-9f00-e4bcfc872fe5,Entire home/apt,-unknown-,0
571b376a-bdd6-459c-99bc-5039f9219e4f,Entire home/apt,-unknown-,3
991bd793-a1b9-4a1e-832d-afaa19add2f3,Entire home/apt,-unknown-,0
ded9cfc1-c13d-456e-86fc-bad35129e394,Private room,Ipanema,0
4f8e9488-ae34-4ee7-b4b1-c359b76d55de,Entire home/apt,-unknown-,0
c2a82357-b48e-4e14-9b76-3d6f46036948,Entire home/apt,-unknown-,0
10d788b4-162f-4dc7-ab25-17aa77291694,Entire home/apt,Ipanema,0
bb7cded1-a92e-4225-86e4-7c221d7b0e88,Private room,-unknown-,2
a9981eee-d618-4d58-82bb-2e0ed3c45cf9,Shared room,-unknown-,0
a3e4e1e3-fdce-401e-9cab-0d7b3eef8687,Entire home/apt,-unknown-,3
afbe533f-cf5f-46ef-a1ca-8915f701fe78,Private room,-unknown-,0
1a88907c-04f0-490e-aeed-75111b5de201,Private room,-unknown-,1
cd29040f-dab5-4b69-9308-b8595f41930c,Entire home/apt,-unknown-,0
38929a77-b264-4892-bf5c-f825d7dc0d62,Entire home/apt,-unknown-,2
e33cbba8-c5c6-4f17-8593-a005621d2906,Entire home/apt,Rocha,0
29ffbe00-d232-40a2-8eaf-f138602c3049,Entire home/apt,-unknown-,0
a85e6dc0-4c0f-4614-b294-91a2f105efa5,Private room,Copacabana,0
6f6a0534-ba74-4a07-a49e-210d85790c0d,Private room,-unknown-,0
df4d9d9c-b251-468b-8971-aa5d527551aa,Entire home/apt,-unknown-,2
ee21e6c9-d7ee-44ea-9d58-ce081a042d7f,Entire home/apt,Ipanema,85
5276c60c-1952-4735-bd71-65d63d6b71a1,Private room,-unknown-,0
831d78f3-7c41-461b-a344-103b7ef0feff,Entire home/apt,-unknown-,0
79aa48c1-f4fc-462f-ad40-85da82c84544,Entire home/apt,Copacabana,1
9a522fe6-7daf-4178-acf5-6e8a738ebcf4,Entire home/apt,Recreio dos Bandeirantes,0
dca1176f-fae3-44f2-89cd-0f36cf326b86,Entire home/apt,Ipanema,0
0664b1f0-87ee-4efa-9086-25569c5c7285,Entire home/apt,-unknown-,0
a5e8cbb3-8021-431c-8ae8-9ba5a7d7542d,Private room,-unknown-,0
935aa9b3-3e23-47b3-8796-301acb2f18ac,Entire home/apt,-unknown-,0
5b525d84-a95d-41c1-91e4-a09454fe2989,Entire home/apt,Ipanema,0
1367fb8b-e091-472d-a9ae-52cccbcdf3b9,Entire home/apt,-unknown-,0
e2aef68f-cf4d-42a5-8f87-122dd98c27b7,Entire home/apt,Copacabana,0
81eed328-b84b-400f-9124-6e95e4caa864,Entire home/apt,-unknown-,5
a8b8f7d6-dca4-464a-bf7d-cb172993b593,Entire home/apt,-unknown-,0
d28a49a2-c63e-4e32-bab7-89208adc34be,Entire home/apt,-unknown-,0
1c88f2f2-19c9-4921-8982-7f6e067024fe,Private room,-unknown-,1
6e8de620-77fc-4422-adea-87e622fb9c06,Entire home/apt,-unknown-,25
57130ab6-6c1e-44f6-953a-8f1fb2963718,Private room,-unknown-,5
72951f3d-dc12-4e11-b30d-7fae64e0d5e6,Entire home/apt,-unknown-,0
65fc33ea-ba3f-4973-bbb7-75e422afb8ee,Private room,-unknown-,3
d6987cae-98cd-4b76-9b24-dfdd01faed47,Entire home/apt,-unknown-,0
75a0b0b3-cb43-44ca-959f-0eb41671e136,Entire home/apt,Copacabana,2
cc7a24c4-11d2-4435-9605-050394350c91,Entire home/apt,-unknown-,0
ca33e224-f1f3-4362-b678-d1c50211c7d2,Entire home/apt,-unknown-,0
9796b0f8-87a8-4a33-ab9c-557400dbbb02,Entire home/apt,-unknown-,0
de874511-ca2f-4b78-8728-651b0386b969,Entire home/apt,-unknown-,76
4eb70e69-a358-464c-a4c6-632fb93af7d9,Private room,-unknown-,0
d1165439-75c1-43e6-a6fb-5750c1bc2c07,Entire home/apt,-unknown-,0
7556f00d-70af-4695-a790-10f925306655,Entire home/apt,Barra da Tijuca,1
8f71c936-4b2d-4cee-8fda-f2ed96aac339,Entire home/apt,Leblon,15
b6907241-ca37-459a-90b0-13be80d3cc7c,Entire home/apt,Vila Isabel,0
b1882181-7a54-4d12-8b98-a943204da0b3,Entire home/apt,Leme,1
6c7ce613-0f3f-4f96-a05d-f4544606b006,Entire home/apt,-unknown-,1
4434bb60-38a3-4ba8-9fe7-f98a7c3b07ea,Entire home/apt,Jardim BotÃ¢nico,0
d7b77a33-e834-4061-bce4-7ac94f97e723,Entire home/apt,Copacabana,0
656eb0a4-5df6-4810-afb5-26638c299af2,Entire home/apt,Leblon,8
c48a03b5-8ea0-45cf-9ee1-c1275dfc2945,Entire home/apt,Santa Teresa,0
72f274c8-31e8-4904-880f-01ad09b22e64,Entire home/apt,-unknown-,0
9f6c2352-51b9-4f5a-9aa7-a4b3f0777564,Private room,-unknown-,25
ef68dcc6-a92d-4a76-a7ef-250a7db7bc45,Private room,-unknown-,0
90e7fd06-c576-4a79-b27d-bed245fb0794,Entire home/apt,-unknown-,0
20ca64dd-8e51-4a7c-a614-b451d03d35e4,Entire home/apt,Ipanema,51
4b8dfd89-5efe-41a7-9057-8643eb51723a,Entire home/apt,-unknown-,0
3aad589b-8b4c-4821-80f4-03f34d6a94d0,Entire home/apt,Copacabana,2
b6317f78-74cb-40de-9af5-5f89f6473187,Entire home/apt,Catete,1
35091c93-272a-4240-a224-e03b4c19d345,Entire home/apt,-unknown-,2
64024abb-0991-4baa-9506-55e9b822ccc2,Entire home/apt,-unknown-,0
a69f3e55-54df-484f-8e21-e408a64b48f7,Entire home/apt,-unknown-,1
bc41e4dd-fe61-48cd-8891-0c7c3e3a38cd,Private room,Marechal Hermes,0
920a969b-4502-4c38-9b6d-6d8b9ab46786,Entire home/apt,-unknown-,0
39dc7f73-d04c-4f52-98f3-e4ea83a5aafb,Entire home/apt,Copacabana,12
631e8ef1-1db7-48bf-b82c-be6509d21e80,Entire home/apt,-unknown-,0
7ee6fd7e-0a91-4718-afd0-4a3cc65fe88b,Entire home/apt,-unknown-,0
191947de-be27-4ff3-b9b6-962a1477d7ec,Entire home/apt,Santa Teresa,33
cb305645-5a37-4ea7-896b-3b3c3398f795,Entire home/apt,-unknown-,0
b9d2541f-e0fe-4e2c-b599-c083aa7f4846,Private room,-unknown-,0
a649d00c-ca40-4460-8ef7-94cf50e3d1d5,Entire home/apt,Copacabana,0
4acc4818-2204-4b52-b0d1-fd681bd33281,Shared room,Leme,1
8db88302-27dd-4628-91d9-96e939783e4a,Entire home/apt,-unknown-,8
29a2a548-582e-4501-b1c0-046c42565448,Private room,-unknown-,3
769d3165-2326-469c-b9e0-4000c7e2e1c4,Entire home/apt,-unknown-,0
c1360328-ac20-46f5-ab16-b24c3540c2db,Entire home/apt,Copacabana,0
a513f14f-cdf1-47d7-9817-a71433d09d90,Entire home/apt,Leblon,37
8c8b9168-5d02-46b3-9207-4de95d21fdd2,Entire home/apt,Ipanema,1
7621ef1e-0794-47f2-aad2-3c8b094a9555,Entire home/apt,-unknown-,0
01623b1f-25a2-45f3-b38d-2918d5f56cb7,Entire home/apt,Leblon,36
c5ac0f37-67c8-4b88-acb3-ee3b239806b2,Private room,Laranjeiras,5
96a6e5d3-5dcc-42d8-a8b0-d539196c8fa7,Entire home/apt,-unknown-,0
e1588cfa-9c21-405d-92bf-289d0d8e2847,Entire home/apt,Copacabana,37
47acaa99-2f0b-4e05-9fc6-7f16262d8dd8,Private room,-unknown-,12
953a415e-96e7-4992-b163-8428b6056c2b,Entire home/apt,Barra da Tijuca,0
68fef762-77c6-41e1-9271-93323bc6098e,Entire home/apt,-unknown-,8
0c514fdb-5d9e-4593-a5eb-10dfc10d18b6,Entire home/apt,-unknown-,0
a88dee3f-1ad1-4b7e-b5bd-d0dc931aa386,Entire home/apt,Ipanema,12
d0a58fc5-97bd-42fc-88f0-78f36dbc52d4,Entire home/apt,-unknown-,2
178edbbe-09e4-4583-9efa-e1ab1c4da0ed,Entire home/apt,-unknown-,2
050b32ab-3930-4920-b265-c0ce6f8f76a4,Entire home/apt,-unknown-,32
f662cd33-b8fc-49f4-bf2b-954683b2fe1e,Entire home/apt,-unknown-,4
fc2318f6-d2eb-4ec2-9e33-bb54678d8210,Entire home/apt,Lapa,0
639901e1-0baf-42d6-80ad-dcdff1803b63,Private room,-unknown-,10
0890d51e-67cf-4986-a230-c32b588107f4,Shared room,-unknown-,0
de902eb4-5443-4f74-bb40-a458a2cd0812,Entire home/apt,-unknown-,0
b61d0f43-6fd1-47b0-bfba-bc29901c11f1,Entire home/apt,-unknown-,0
e2653473-61eb-404f-b9d0-fb54c376ebf9,Entire home/apt,-unknown-,0
509c0e37-0b26-4f05-897f-06e4bccb1380,Private room,-unknown-,0
c62e68e5-e0e9-4575-9723-3e5a1c05f7b4,Entire home/apt,Copacabana,0
332353d5-342d-4353-912d-61e99150335e,Entire home/apt,-unknown-,0
15cd7b9a-3dcb-4176-9693-96b09a7c4975,Entire home/apt,-unknown-,2
6fa74b54-86e0-444d-9eb2-57ac2dc64972,Shared room,-unknown-,0
e86a2ded-9a51-4832-b6f9-d85aace13e89,Private room,-unknown-,8
2b21a57f-1a7c-49b0-bbf8-1f4e7aa3a464,Entire home/apt,-unknown-,0
0c3b1111-62fd-4d37-aafd-0ad0d85a9232,Entire home/apt,-unknown-,0
cf738610-e648-4ae9-9fd4-b13d9a4380a4,Entire home/apt,Copacabana,3
67261ad0-87b5-4044-be69-54fb7a65e1dc,Entire home/apt,Copacabana,41
b2447014-276f-41cd-b6b0-c572d55320ac,Entire home/apt,-unknown-,0
b9264a15-d207-42eb-90bf-38ac2a02f56d,Entire home/apt,Barra da Tijuca,0
3f8c813f-35a5-4376-b5c9-39812c982980,Entire home/apt,Leblon,1
f08f6f4b-3168-474b-bc64-392d2921edb6,Entire home/apt,Ipanema,68
4480d14d-f5e8-49e5-b1bc-1a884a26afef,Entire home/apt,-unknown-,49
f310ca14-1667-4bb4-b75f-977ebb30340a,Entire home/apt,-unknown-,0
55064df9-5616-4193-82d2-c7ee590a2025,Entire home/apt,-unknown-,0
d60ad07e-e902-4697-a34f-86f4da7d2546,Private room,Centro,0
63ff98b9-9457-48a3-af23-48d2a8b48ece,Entire home/apt,Copacabana,63
48215e21-802d-48ba-93fb-f9c3ff4243fa,Entire home/apt,Copacabana,1
91183cb7-680e-448a-8a17-b730e90c51a4,Entire home/apt,Ipanema,40
245b0ef8-76cd-4b39-ace4-dfedb2702335,Entire home/apt,Leme,2
a0d341ca-2e9a-4de8-9977-d7cea524b30f,Entire home/apt,Santa Teresa,23
feea3ae5-96dd-4d3a-839d-160950343a82,Entire home/apt,-unknown-,0
a66709b5-91d8-4e66-bde3-4895d74b247d,Entire home/apt,Copacabana,0
a6ae136d-1ee0-41cb-9cf9-d8cefed96aca,Entire home/apt,Copacabana,37
2f5f23c9-e025-4ee3-89ef-03988650c6e8,Private room,-unknown-,0
474659d6-d4cd-4521-8c8d-d4982b556214,Entire home/apt,Leblon,39
cdf5ccc0-fdee-4f35-b244-d2b44e3aaa20,Entire home/apt,-unknown-,92
55102673-e45e-4ab2-a32a-35069d72e909,Entire home/apt,-unknown-,0
e53e4420-2e53-45b4-a416-dfa2638c8d6b,Entire home/apt,Copacabana,1
3cfef419-b4ae-47ea-b959-00ed9f96d3ad,Entire home/apt,-unknown-,0
3864d584-ea4f-4c80-ab3e-4d571f757164,Entire home/apt,-unknown-,0
31f45558-0f5c-4edc-bb9f-befe22e166ac,Entire home/apt,Leblon,0
4f8414f3-44d7-4b0d-9183-478b8eac6b0f,Private room,-unknown-,0
fd1a4e2d-24fd-48dd-b538-dfb9665e55da,Entire home/apt,Copacabana,21
4fcc97f1-9399-4675-a468-3d8e220e52b2,Entire home/apt,Copacabana,17
318cf7ed-1585-46c4-8498-3a3130a8f474,Private room,-unknown-,0
589b12f6-3c51-4af6-a6c7-697e6cd71ef8,Entire home/apt,-unknown-,0
00dde6f2-0f3c-4692-9442-6420203f7338,Private room,Catete,0
62665002-626c-4402-8b0b-9fc3017dc557,Entire home/apt,HumaitÃ¡,0
13e3f25e-97d0-4a38-b812-2f50e439450c,Entire home/apt,Copacabana,11
293f94f4-18a1-4384-a4a9-70ccd3aa705c,Entire home/apt,-unknown-,0
08028a4e-94b3-4efb-bf84-52750f74da8a,Entire home/apt,-unknown-,1
2abb8e9a-ddd9-42a6-805a-44b277a2e55a,Entire home/apt,-unknown-,0
bf374108-a0fa-428a-9e72-20d3f2e58556,Entire home/apt,-unknown-,-7
cb643fbb-f69b-45bd-9258-2517009c3539,Entire home/apt,-unknown-,17
3eb5abe3-f23c-4135-b888-fe3da13f2504,Entire home/apt,Copacabana,3
1c5bbb97-8565-4891-807e-67de0cdf679f,Entire home/apt,Laranjeiras,0
b3c4b9ac-57e7-42a2-892b-7d84eb9b7d39,Entire home/apt,-unknown-,0
6f4782d5-c158-4329-8c31-96ac2b12bfbb,Entire home/apt,HumaitÃ¡,0
d1df1c93-d843-4194-aaeb-6f7f82bbb0a4,Entire home/apt,Botafogo,13
824bf584-e9a8-475d-af63-eead41bead2d,Entire home/apt,-unknown-,0
bce754d9-41d9-43b7-ab07-9b1299a7d02c,Entire home/apt,Copacabana,0
70fd7478-4a35-42e1-be1e-eb6202d13a37,Entire home/apt,-unknown-,0
72febc52-a462-4f7c-8dcc-7e8c113c77e3,Private room,-unknown-,2
a8580ec1-191a-4e6c-add0-7e0060772a76,Entire home/apt,-unknown-,1
dc99dc8c-f1be-4457-a22f-8f8b8a635f94,Private room,Tijuca,0
da403a7e-84ea-48ec-a5fe-8b161d5df66d,Entire home/apt,-unknown-,1
3f986b7e-3e4f-4463-9701-80850dc6b1e5,Entire home/apt,-unknown-,0
343a2201-4d8a-4cc1-a8a4-68eb7cbe116f,Entire home/apt,Copacabana,2
d77c371d-0cc6-4024-82ef-7203c13e97a7,Entire home/apt,Copacabana,30
b77b75df-34a0-4870-a72f-df0900756bc8,Entire home/apt,-unknown-,0
bf607b1d-a05f-4edc-9fa8-ec905cacc175,Entire home/apt,Copacabana,1
6b892364-81a7-4d04-bfaa-867264342674,Entire home/apt,Cosme Velho,6
c2480176-a47e-4695-9a5f-f3e7b03cfc75,Private room,-unknown-,0
d8494fbf-8eda-4195-9f4e-597e55129807,Entire home/apt,-unknown-,0
723ed526-761c-4963-ab6a-a982c1e9588c,Entire home/apt,-unknown-,0
c7edbf98-9042-42aa-bba1-85da1afb0398,Entire home/apt,-unknown-,2
3b24113c-883d-4de7-8e2a-0f477ab91279,Entire home/apt,Botafogo,8
d1a37a4f-6ff6-4d62-ab24-967911787dc6,Entire home/apt,Centro,4
191e52bd-05a7-4f7a-a124-3708a110d72e,Entire home/apt,-unknown-,2
29715515-93bb-4cc9-a34d-91ee76db3d80,Private room,Botafogo,2
7d9324fc-8c4a-4d68-9635-6d7aff0db230,Entire home/apt,Copacabana,6
40f0be53-4612-4442-8bab-9f219b2e8d22,Entire home/apt,-unknown-,0
2ed6c578-047a-47fc-8041-0eb4b0668642,Entire home/apt,Ipanema,53
a7ea14df-e46e-4483-99a8-f6c9a012232d,Entire home/apt,Barra da Tijuca,4
16521726-a4c6-41cd-9952-ff5ab3b38bc5,Private room,Copacabana,1
6020c67a-9de8-49e3-8866-7062e2abb127,Entire home/apt,-unknown-,2
aea65bc9-792a-434b-b094-fbd156177b87,Entire home/apt,Jardim BotÃ¢nico,0
a1d6d054-9d23-4e64-b63e-76eacfcc8823,Entire home/apt,-unknown-,1
aecd0c3b-bde5-457d-b86a-e7e57cf13f34,Entire home/apt,-unknown-,0
d33ec986-2864-42ea-a319-eee734bb278d,Entire home/apt,Lapa,1
0c76efa6-48cd-4c06-a74d-dbbd4bcbf5b3,Private room,-unknown-,0
0533e0fa-946d-4d19-9d17-9a04a2ab31c9,Entire home/apt,Barra da Tijuca,-6
2315de51-ac0f-4ca1-827f-9b9a4c9b6582,Private room,-unknown-,1
131833b7-0af8-4462-a70d-171757ecaf10,Entire home/apt,-unknown-,4
abd07b77-083e-4776-89ce-9611949f21f4,Entire home/apt,-unknown-,2
f41e8243-149d-4df3-bfa0-e496ac769d2a,Entire home/apt,Botafogo,0
3df785d6-0cf3-410f-b1da-d26f74df6693,Entire home/apt,-unknown-,6
f82f306f-e059-4d90-8d73-90d3222e322b,Entire home/apt,Tijuca,6
7288db07-e637-496d-a92e-89ad88e282b2,Entire home/apt,Recreio dos Bandeirantes,1
3bac6f41-97fa-4db5-a696-1bd5f317f759,Private room,Coelho Neto,0
10ecf44b-975e-4af2-989e-e8d34254a232,Entire home/apt,Leblon,13
6fa92fa5-bdb8-4e77-9cd4-694b0f69757e,Private room,Botafogo,2
667c013d-e903-45f6-8e38-c74d1dc4d2d2,Entire home/apt,Recreio dos Bandeirantes,0
0980ebf3-d914-45df-ae73-97a5a8e8945d,Entire home/apt,-unknown-,3
fe139fbf-ee09-44b1-b1c4-91d3837b4192,Entire home/apt,-unknown-,0
9ff09a6f-6007-4ffe-8ed6-0126718ecce7,Entire home/apt,-unknown-,0
dafa4e5f-9c0d-4fbb-87a8-ede3b9889399,Entire home/apt,Copacabana,0
aba4682c-e647-4df8-8bd1-bd4316c1ac42,Entire home/apt,-unknown-,0
127a9e32-81a4-4216-9831-2c022e6c9584,Entire home/apt,Ipanema,0
2b2c1c9a-d2aa-44b8-b5e0-226042394e5e,Entire home/apt,-unknown-,47
885bd529-8983-417c-877f-2f25c80ecd30,Entire home/apt,-unknown-,3
77c6ebde-cf7e-4237-9fe2-14b242496300,Private room,-unknown-,0
7b8b7293-faf5-4f0c-af38-5703f49c2a9f,Private room,-unknown-,0
516d27fd-1efb-4aea-9260-1c77daf1eaeb,Private room,-unknown-,0
fde4ce84-4088-4857-8a27-2ccfb1b8a906,Entire home/apt,-unknown-,18
7754738b-1742-4d4d-aa33-32b7375d3ade,Entire home/apt,Ipanema,44
b67d8710-f3f7-44e6-9617-0e6480ff3414,Entire home/apt,-unknown-,0
6c278ea0-4599-4a4f-bee0-bfe225e7629f,Entire home/apt,-unknown-,0
2e8e84b9-b6e3-4fdd-99e0-fdf99f4720be,Private room,-unknown-,2
998ccefa-5e4f-4cdf-8967-4d130b13ffbc,Private room,Botafogo,85
1bdda5fc-588c-4469-bc97-f7fb77e40d32,Entire home/apt,-unknown-,22
46149682-206e-4b02-9f3c-a13e13fcdff4,Entire home/apt,-unknown-,1
bed7798d-8f67-476a-bd65-085e4e8ba6ce,Entire home/apt,-unknown-,3
c0135448-e950-4866-8b39-fa00a16e1e6b,Entire home/apt,-unknown-,0
6e7a40a3-8266-4f9c-be07-a25205a1752d,Entire home/apt,Copacabana,1
02c6d151-c4d0-4b79-9f23-a2b9780db671,Entire home/apt,-unknown-,0
f9934a88-ada1-489f-9c81-2f39cee0c5dc,Entire home/apt,-unknown-,0
086f22c6-fdb3-4010-8c18-62db8f1d7774,Entire home/apt,Copacabana,56
4fbd58cb-5151-4028-8791-bc5510c19c78,Private room,Copacabana,33
